AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO;EnteredBy
15943;Brittany;;F/S;25746 rf4;2008-02-07;20005;Daisy;200;;Cream & Brown;;47 lbs;;COMPLAINT;Redeemed;;Susy Jakoncic
15944;German Short Hair Pointer;;M;25746 rf4;2008-02-07;20026;Buddy;200;;Brown & White;;43 lbs;;COMPLAINT;Redeemed;;Susy Jakoncic
15959;Bichon Frise;2008-10-29;M/N;24645 Amy;2008-02-15;20043;Scooter;200;;White;;15;;POLICE-DAY;Redeemed;3;Bob Cristofoli
15972;Malinois mix;;F/S;N/C;2008-02-20;40000;Minerva;400;;Sable & Tan;;70;;OTHER;Ride Home Free;3;Bob Cristofoli
15974;Boxer X;2008-11-06;F;25010 rf4;2008-02-21;20058;Shey;200;;White & Brown Patch around eye;;49 lbs;;HOLDING STRAY;Redeemed;;Deb Thomas
15976;Shih Tzu;;M/N;25009 rf4;2008-02-21;20077;Peanut (aka Chevy);200;;White & Tan;;5lbs;;HOLDING STRAY;Redeemed;5;Bill Stevenson
15977;German Shepherd;;F/S;25003 rf4;2008-02-21;20037;Sasha;200;;Black & Tan;;60lbs;;HOLDING STRAY;Redeemed;21;Guy Palanuik
15979;Pom X;;F;25004 rf4;2008-02-21;20052;Bibi;200;;Tan;;10 lbs;;HOLDING STRAY;Redeemed;22;Lori Fitzgerald
15982;Husky X;;M/N;08/165697 rf;2008-02-23;20072;Oliver;200;;Blonde;;58 lbs;;HOLDING STRAY;Redeemed;20;Deb Thomas
15989;Shep X Lab;2007-12-11;M/N;25058 DT;2008-01-09;20063;Slider (now Magnus);200;;Black & Tan;;50;;OTHER;Sold;;Katie Ernst
15998;Cairn Terrier;2008-03-01;M/N;08 167647;2008-02-21;20073;Liam;200;;Silver & Wheaten;;30;;OTHER;Sold;;Katie Ernst
16001;Weimaraner;;M;08-167895DA-SKJ;2008-02-23;20010;Max (new name);200;;Silver;;60 lbs.;;COMPLAINT;Sold;;Ching Koo
